event,idx,time_sec,pc1,pc2,type,k_type,db_type,image,image_exists
118,182383,182.383,-0.16088015452842386,-0.209780104762537,2,2,1,Raster_Evt118_1ch.png,True
119,182558,182.558,-0.044515366925667384,0.3703984352769501,2,2,1,Raster_Evt119_1ch.png,True
120,183141,183.141,0.8889340641659349,-1.0983153503008445,1,1,0,Raster_Evt120_1ch.png,True
121,190311,190.311,-0.293063562364569,-0.19060822564739088,2,2,1,Raster_Evt121_1ch.png,True
122,190929,190.929,-0.37983680157033356,0.2589727810706894,2,2,1,Raster_Evt122_1ch.png,True
123,191592,191.592,0.7393548401431743,-0.7205986952609975,1,1,1,Raster_Evt123_1ch.png,True
124,192813,192.813,0.5798979932841544,-0.2772816692655379,1,1,1,Raster_Evt124_1ch.png,True
125,196577,196.577,-0.41745815137492565,0.15915876479589336,2,2,1,Raster_Evt125_1ch.png,True
126,197372,197.372,0.18405848848425513,-0.6066880154140523,2,2,1,Raster_Evt126_1ch.png,True
127,197700,197.7,-0.5750588223362909,0.07222579534562913,2,2,1,Raster_Evt127_1ch.png,True
128,197995,197.995,0.3410018234946772,0.5045153508963168,2,2,0,Raster_Evt128_1ch.png,True
129,201537,201.537,-0.0320458421174474,-0.20903374781820508,2,2,1,Raster_Evt129_1ch.png,True
130,202198,202.198,-0.12801636220520646,-0.5082986531507152,2,2,1,Raster_Evt130_1ch.png,True
131,202659,202.659,-0.22038891121573045,0.5789236867066898,2,2,1,Raster_Evt131_1ch.png,True
132,202864,202.864,-0.34990809090559,0.5601645025163938,2,2,1,Raster_Evt132_1ch.png,True
133,203157,203.157,2.2287454433586347,1.2030090915210905,1,1,2,Raster_Evt133_1ch.png,True
134,203295,203.295,1.669987802995832,-0.11630055868601002,1,1,0,Raster_Evt134_1ch.png,True
135,203521,203.521,0.609282359982532,-0.8316575522823384,1,1,1,Raster_Evt135_1ch.png,True
136,207150,207.15,0.13640875076679915,-0.5851563402647255,2,2,1,Raster_Evt136_1ch.png,True
137,207709,207.709,-0.4742284210459455,0.03148758897105919,2,2,1,Raster_Evt137_1ch.png,True
138,208216,208.216,0.12004272038222469,-0.5785738494374774,2,2,1,Raster_Evt138_1ch.png,True
139,208679,208.679,-0.5286126391019709,0.4212937901351063,2,2,1,Raster_Evt139_1ch.png,True
140,209098,209.098,-0.1394341912068135,-0.0971991584057111,2,2,1,Raster_Evt140_1ch.png,True
141,211012,211.012,-0.3495292193226842,-0.3406044740524952,2,2,1,Raster_Evt141_1ch.png,True
142,211594,211.594,-0.1072290266249049,0.21332559085062933,2,2,1,Raster_Evt142_1ch.png,True
143,211712,211.712,-0.2542431838478878,0.28926576943833476,2,2,1,Raster_Evt143_1ch.png,True
144,212533,212.533,0.5469803830561308,-0.9474696437387867,1,1,1,Raster_Evt144_1ch.png,True
145,213816,213.816,0.014368939027030743,-0.561537252267769,2,2,1,Raster_Evt145_1ch.png,True
146,214591,214.591,-0.0994862817262596,-0.5098555386462826,2,2,1,Raster_Evt146_1ch.png,True
147,221544,221.544,-0.5252140949152005,0.03662231749541185,2,2,1,Raster_Evt147_1ch.png,True
148,233978,233.978,-0.24795976068961734,-0.16939697255623862,2,2,1,Raster_Evt148_1ch.png,True
149,239404,239.404,0.3218910181918133,-0.443559897505939,2,2,1,Raster_Evt149_1ch.png,True
150,243719,243.719,0.1700984250273856,-0.4918579256985845,2,2,1,Raster_Evt150_1ch.png,True
151,244424,244.424,-0.005527068249198237,-0.6837805928615525,2,2,1,Raster_Evt151_1ch.png,True
152,245447,245.447,-0.48672293931119903,0.03915866347171385,2,2,1,Raster_Evt152_1ch.png,True
153,250986,250.986,-0.22917699395869426,-0.13464767796505372,2,2,1,Raster_Evt153_1ch.png,True
154,255444,255.444,-0.6145681711333684,0.3174081553969154,2,2,1,Raster_Evt154_1ch.png,True
155,256165,256.165,-0.0060579477446006886,-0.37041767183251545,2,2,1,Raster_Evt155_1ch.png,True
156,258401,258.401,-0.17661452909103306,-0.30870366640596564,2,2,1,Raster_Evt156_1ch.png,True
157,259044,259.044,-0.21339657574057738,0.10905162196367686,2,2,1,Raster_Evt157_1ch.png,True
158,259212,259.212,-0.16092206875094894,0.668228845424495,2,2,1,Raster_Evt158_1ch.png,True
159,263024,263.024,-0.10650185211955569,-0.5546054768525843,2,2,1,Raster_Evt159_1ch.png,True
160,263923,263.923,-0.03232584333665093,-0.21436216202587205,2,2,1,Raster_Evt160_1ch.png,True
161,268370,268.37,-0.03192095457270426,0.4872485071203907,2,2,1,Raster_Evt161_1ch.png,True
162,269327,269.327,-0.5861852118080354,0.42338473583771546,2,2,1,Raster_Evt162_1ch.png,True
163,269921,269.921,-0.6000581993239242,0.610217560234926,2,2,1,Raster_Evt163_1ch.png,True
164,270300,270.3,-0.47739628094457853,0.39519833763958934,2,2,1,Raster_Evt164_1ch.png,True
